Date,Count
2011/07/09,3.386
2011/07/10,3.463
2011/07/11,3.05
2011/07/12,2.583
2011/07/13,2.939
2011/07/14,4.031
2011/07/15,2.902
2011/07/16,2.837
2011/07/17,2.607
2011/07/18,3.162
2011/07/19,2.997
2011/07/20,3.217
2011/07/21,2.63
2011/07/22,2.53
2011/07/23,2.459
2011/07/24,2.76
2011/07/25,2.364
2011/07/26,2.707
2011/07/27,2.565
2011/07/28,2.429
2011/07/29,2.353
2011/07/30,2.453
2011/07/31,2.548
2011/08/01,2.565
2011/08/02,2.992
2011/08/03,2.802
2011/08/04,2.945
2011/08/05,3.23
2011/08/06,2.945
2011/08/07,3.372
2011/08/08,2.707
2011/08/09,2.517
2011/08/10,2.66
2011/08/11,1.9
2011/08/12,2.042
2011/08/13,2.042
2011/08/14,2.612
2011/08/15,2.232
2011/08/16,2.185
2011/08/17,2.992
2011/08/18,3.04
2011/08/19,2.09
2011/08/20,2.137
2011/08/21,3.087
2011/08/22,2.042
2011/08/23,2.565
2011/08/24,3.42
2011/08/25,2.517
2011/08/26,1.947
2011/08/27,2.47
2011/08/28,2.09
2011/08/29,1.852
2011/08/30,1.9
2011/08/31,1.805
2011/09/01,1.9
2011/09/02,1.995
2011/09/03,1.805
2011/09/04,2.375
2011/09/05,1.852
2011/09/06,2.612
2011/09/07,1.615
2011/09/08,2.09
2011/09/09,2.66
2011/09/10,2.327
2011/09/11,2.47
2011/09/12,1.14
2011/09/13,1.615
2011/09/14,1.52
2011/09/15,1.472
2011/09/16,1.662
2011/09/17,1.282
2011/09/18,1.947
2011/09/19,1.615
2011/09/20,1.472
2011/09/21,1.377
2011/09/22,1.567
2011/09/23,1.472
2011/09/24,1.71
2011/09/25,1.425
2011/09/26,1.52
2011/09/27,1.282
2011/09/28,0.902
2011/09/29,1.14
2011/09/30,1.71
2011/10/01,1.464
2011/10/02,1.396
2011/10/03,1.196
2011/10/04,1.681
2011/10/05,1.41
2011/10/06,1.308
2011/10/07,1.193
2011/10/08,1.786
2011/10/09,1.711
2011/10/10,1.484
2011/10/11,1.213
2011/10/12,1.511
2011/10/13,1.467
2011/10/14,1.305
2011/10/15,1.186
2011/10/16,1.051
2011/10/17,1.281
2011/10/18,1.637
2011/10/19,1.616
2011/10/20,1.298
2011/10/21,0.942
2011/10/22,1.115
2011/10/23,1.091
2011/10/24,1.447
2011/10/25,1.139
2011/10/26,1.067
2011/10/27,0.806
2011/10/28,0.956
2011/10/29,0.854
2011/10/30,0.942
2011/10/31,0.962
2011/11/01,1.95
2011/11/02,1.34
2011/11/03,1.178
2011/11/04,1.015
2011/11/05,0.894
2011/11/06,0.772
2011/11/07,1.056
2011/11/08,0.772
2011/11/09,0.894
2011/11/10,0.934
2011/11/11,0.812
2011/11/12,0.812
2011/11/13,0.772
2011/11/14,1.097
2011/11/15,0.812
2011/11/16,0.812
2011/11/17,0.69
2011/11/18,0.934
2011/11/19,0.975
2011/11/20,0.975
2011/11/21,0.69
2011/11/22,0.528
2011/11/23,0.731
2011/11/24,0.812
2011/11/25,0.853
2011/11/26,0.975
2011/11/27,0.853
2011/11/28,1.056
2011/11/29,1.056
2011/11/30,0.812
2011/12/01,0.894
2011/12/02,1.097
2011/12/03,1.097
2011/12/04,0.853
2011/12/05,0.853
2011/12/06,0.609
2011/12/07,0.812
2011/12/08,0.772
2011/12/09,0.812
2011/12/10,0.609
2011/12/11,1.015
2011/12/12,0.812
2011/12/13,0.487
2011/12/14,0.609
2011/12/15,0.853
2011/12/16,0.69
2011/12/17,0.731
2011/12/18,0.772
2011/12/19,0.69
2011/12/20,0.772
2011/12/21,0.934
2011/12/22,0.853
2011/12/23,1.015
2011/12/24,0.731
2011/12/25,0.934
2011/12/26,0.731
2011/12/27,1.056
2011/12/28,0.934
2011/12/29,0.934
2011/12/30,0.69
2011/12/31,0.934
2012/01/01,1
2012/01/02,1.089
2012/01/03,1.13
2012/01/04,0.926
2012/01/05,1.29
2012/01/06,1.31
2012/01/07,1.068
2012/01/08,1.27
2012/01/09,1.37
2012/01/10,1.25
2012/01/11,1.248
2012/01/12,1.149
2012/01/13,0.987
2012/01/14,0.766
2012/01/15,0.886
2012/01/16,4.031
2012/01/17,2.177
2012/01/18,1.432
2012/01/19,1.349
2012/01/20,1.209
2012/01/21,1.43
2012/01/22,1.129
2012/01/23,1.17
2012/01/24,0.907
2012/01/25,1.167
2012/01/26,1.028
2012/01/27,1.108
2012/01/28,1.27
2012/01/29,1.129
2012/01/30,1.109
2012/01/31,1.089
2012/02/01,1.12
2012/02/02,1
2012/02/03,1.4
2012/02/04,1.2
2012/02/05,1.2
2012/02/06,1
2012/02/07,1.12
2012/02/08,1.08
2012/02/09,1.04
2012/02/10,1.2
2012/02/11,0.96
2012/02/12,0.92
2012/02/13,0.92
2012/02/14,0.92
2012/02/15,1.2
2012/02/16,1.16
2012/02/17,0.96
2012/02/18,0.92
2012/02/19,1
2012/02/20,0.84
2012/02/21,0.84
2012/02/22,0.96
2012/02/23,0.84
2012/02/24,0.8
2012/02/25,0.8
2012/02/26,0.84
2012/02/27,0.88
2012/02/28,0.88
2012/02/29,0.96
2012/03/01,0.88
2012/03/02,1.24
2012/03/03,1.32
2012/03/04,0.96
2012/03/05,0.8
2012/03/06,1
2012/03/07,0.68
2012/03/08,0.8
2012/03/09,0.84
2012/03/10,0.84
2012/03/11,0.8
2012/03/12,0.68
2012/03/13,1
2012/03/14,0.92
2012/03/15,0.8
2012/03/16,0.72
2012/03/17,0.88
2012/03/18,0.84
2012/03/19,0.72
2012/03/20,1.04
2012/03/21,0.8
2012/03/22,1.12
2012/03/23,0.8
2012/03/24,1
2012/03/25,0.76
2012/03/26,0.88
2012/03/27,0.8
2012/03/28,1.08
2012/03/29,0.76
2012/03/30,0.64
2012/03/31,1.12
2012/04/01,0.803
2012/04/02,1.472
2012/04/03,1.334
2012/04/04,1.277
2012/04/05,1.095
2012/04/06,0.922
2012/04/07,1.08
2012/04/08,1.017
2012/04/09,0.58
2012/04/10,1.101
2012/04/11,1.007
2012/04/12,1.021
2012/04/13,1.171
2012/04/14,0.958
2012/04/15,0.994
2012/04/16,0.694
2012/04/17,0.715
2012/04/18,1.469
2012/04/19,1.035
2012/04/20,0.921
2012/04/21,1.029
2012/04/22,1.131
2012/04/23,1.169
2012/04/24,0.914
2012/04/25,0.936
2012/04/26,1.297
2012/04/27,1.529
2012/04/28,1.161
2012/04/29,0.815
2012/04/30,0.996
2012/05/01,1.02
2012/05/02,0.938
2012/05/03,0.79
2012/05/04,1.02
2012/05/05,0.922
2012/05/06,1.399
2012/05/07,1.086
2012/05/08,0.774
2012/05/09,0.872
2012/05/10,1.152
2012/05/11,1.185
2012/05/12,1.086
2012/05/13,1.037
2012/05/14,1.317
2012/05/15,0.955
2012/05/16,0.823
2012/05/17,0.543
2012/05/18,0.872
2012/05/19,0.955
2012/05/20,0.741
2012/05/21,1.053
2012/05/22,0.757
2012/05/23,0.839
2012/05/24,0.922
2012/05/25,0.724
2012/05/26,0.987
2012/05/27,0.987
2012/05/28,0.938
2012/05/29,0.938
2012/05/30,0.856
2012/05/31,0.691
2012/06/01,0.757
2012/06/02,0.609
2012/06/03,0.708
2012/06/04,0.823
2012/06/05,0.889
2012/06/06,0.856
2012/06/07,0.823
2012/06/08,1.251
2012/06/09,1.267
2012/06/10,1.037
2012/06/11,1.004
2012/06/12,0.856
2012/06/13,1.432
2012/06/14,1.037
2012/06/15,1.02
2012/06/16,1.053
2012/06/17,1.136
2012/06/18,0.741
2012/06/19,1.169
2012/06/20,1.053
2012/06/21,0.938
2012/06/22,0.806
2012/06/23,1.169
2012/06/24,0.987
2012/06/25,0.889
2012/06/26,0.856
2012/06/27,1.053
2012/06/28,1.02
2012/06/29,1.119
2012/06/30,0.823
2012/07/01,1.081
2012/07/02,0.846
2012/07/03,0.879
2012/07/04,0.963
2012/07/05,0.822
2012/07/06,0.787
2012/07/07,0.874
2012/07/08,0.854
2012/07/09,1.363
2012/07/10,1.109
2012/07/11,1.443
2012/07/12,1.325
2012/07/13,1.079
2012/07/14,1.082
2012/07/15,1.217
2012/07/16,1.141
2012/07/17,1.313
2012/07/18,1.299
2012/07/19,1.472
2012/07/20,1.396
2012/07/21,1.491
2012/07/22,1.234
2012/07/23,1.334
2012/07/24,1.225
2012/07/25,0.938
2012/07/26,1.182
2012/07/27,0.981
2012/07/28,0.858
2012/07/29,0.917
2012/07/30,1.101
2012/07/31,1.2
2012/08/01,0.923
2012/08/02,1.025
2012/08/03,1.094
2012/08/04,1.675
2012/08/05,1.025
2012/08/06,1.162
2012/08/07,1.299
2012/08/08,1.367
2012/08/09,1.538
2012/08/10,1.299
2012/08/11,1.06
2012/08/12,1.641
2012/08/13,1.265
2012/08/14,1.436
2012/08/15,1.23
2012/08/16,1.709
2012/08/17,1.948
2012/08/18,1.333
2012/08/19,2.222
2012/08/20,1.504
2012/08/21,2.188
2012/08/22,2.324
2012/08/23,1.743
2012/08/24,1.675
2012/08/25,1.641
2012/08/26,1.265
2012/08/27,1.777
2012/08/28,1.06
2012/08/29,1.333
2012/08/30,1.128
2012/08/31,1.401
2012/09/01,0.889
2012/09/02,1.06
2012/09/03,1.401
2012/09/04,1.128
2012/09/05,3.418
2012/09/06,3.076
2012/09/07,2.324
2012/09/08,1.846
2012/09/09,1.982
2012/09/10,1.47
2012/09/11,1.367
2012/09/12,1.265
2012/09/13,1.367
2012/09/14,1.47
2012/09/15,1.846
2012/09/16,1.504
2012/09/17,1.094
2012/09/18,1.504
2012/09/19,1.982
2012/09/20,1.265
2012/09/21,1.162
2012/09/22,1.265
2012/09/23,1.23
2012/09/24,1.47
2012/09/25,1.367
2012/09/26,1.709
2012/09/27,1.333
2012/09/28,1.504
2012/09/29,0.957
2012/09/30,1.436
2012/10/01,1.726
2012/10/02,1.658
2012/10/03,1.509
2012/10/04,1.106
2012/10/05,1.411
2012/10/06,1.152
2012/10/07,1.357
2012/10/08,1.137
2012/10/09,1.309
2012/10/10,1.309
2012/10/11,1.546
2012/10/12,1.384
2012/10/13,1.169
2012/10/14,1.315
2012/10/15,1.197
2012/10/16,1.348
2012/10/17,1.14
2012/10/18,1.272
2012/10/19,1.305
2012/10/20,1.177
2012/10/21,1.128
2012/10/22,1.034
2012/10/23,1.072
2012/10/24,1.229
2012/10/25,1.074
2012/10/26,1.04
2012/10/27,1.057
2012/10/28,0.949
2012/10/29,0.932
2012/10/30,1.052
2012/10/31,1.074
2012/11/01,0.974
2012/11/02,0.946
2012/11/03,1.175
2012/11/04,1.404
2012/11/05,1.605
2012/11/06,1.089
2012/11/07,1.06
2012/11/08,1.175
2012/11/09,0.946
2012/11/10,1.204
2012/11/11,1.003
2012/11/12,1.576
2012/11/13,1.032
2012/11/14,1.089
2012/11/15,0.946
2012/11/16,2.178
2012/11/17,1.691
2012/11/18,1.519
2012/11/19,1.576
2012/11/20,1.376
2012/11/21,1.175
2012/11/22,1.462
2012/11/23,1.232
2012/11/24,1.519
2012/11/25,1.548
2012/11/26,1.92
2012/11/27,1.404
2012/11/28,2.637
2012/11/29,1.691
2012/11/30,1.347
2012/12/01,1.433
2012/12/02,1.72
2012/12/03,1.347
2012/12/04,1.261
2012/12/05,1.175
2012/12/06,1.72
2012/12/07,2.006
2012/12/08,2.293
2012/12/09,2.866
2012/12/10,2.321
2012/12/11,2.235
2012/12/12,1.92
2012/12/13,1.433
2012/12/14,1.863
2012/12/15,1.777
2012/12/16,1.72
2012/12/17,1.519
2012/12/18,1.662
2012/12/19,1.318
2012/12/20,1.261
2012/12/21,1.06
2012/12/22,1.232
2012/12/23,1.118
2012/12/24,1.404
2012/12/25,1.376
2012/12/26,1.232
2012/12/27,1.605
2012/12/28,1.204
2012/12/29,1.318
2012/12/30,1.576
2012/12/31,1.318
2013/01/01,1.194
2013/01/02,1.497
2013/01/03,1.798
2013/01/04,1.841
2013/01/05,1.826
2013/01/06,2.187
2013/01/07,1.755
